GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
help-backend,com.help.entity,Task,362,73,86,0,0,11,47,21,4,21
help-backend,com.help.entity,PointsLog,288,27,62,0,7,1,43,7,12,7
help-backend,com.help.entity,User,345,50,78,0,0,10,47,15,8,15
help-backend,com.help,HelpApplication,8,3,0,0,3,1,1,1,1,1
help-backend,com.help.dto,AiSummaryReq,65,10,14,0,0,2,11,3,4,3
help-backend,com.help.controller,TaskController,127,98,10,2,25,24,11,5,5,5
help-backend,com.help.controller,HealthController,11,3,0,0,3,1,2,1,2,1
help-backend,com.help.controller,AuthController,110,72,4,2,27,14,4,2,1,2
help-backend,com.help.controller,AiController,5,32,1,3,2,7,1,3,0,2
help-backend,com.help.controller,MetricsController,36,6,0,0,5,3,1,1,1,1
help-backend,com.help.controller,UserController,60,3,2,0,12,1,3,1,2,1
help-backend,com.help.controller,AdminController,309,3,16,0,60,1,20,1,12,1
help-backend,com.help.service.impl,TaskServiceImpl,379,156,24,8,83,35,19,6,6,3
help-backend,com.help.service.impl,AiServiceImpl,3,126,4,6,2,27,4,3,0,2
help-backend,com.help.config,MybatisConfig,0,3,0,0,0,1,0,1,0,1
help-backend,com.help.config,JwtUtil,67,12,0,0,19,4,5,1,5,1
help-backend,com.help.config,MetricsInterceptor,50,91,6,2,7,17,8,4,4,4
help-backend,com.help.config,WebMvcConfig,0,79,0,0,0,14,0,2,0,2
help-backend,com.help.config,AdminInterceptor,82,6,10,0,23,3,6,1,1,1
help-backend,com.help.config,AuthInterceptor,44,50,4,4,15,12,4,3,0,3
help-backend,com.help.config,RestTemplateConfig,0,7,0,0,0,2,0,2,0,2
help-backend,com.help.common,Result,131,53,30,0,0,13,19,9,4,9
